x, y, z, u

(1.47017,0.857143), (1.47017,2.57143), (1.47017,4.28571), (1.47017,6), (1.69057,7.59629), (1.47017,9.42857), (1.47017,11.1429), 

(1.47066,0.857143), (1.92081,2.78906), (1.47066,4.28571), (1.93967,5.82673), (1.93431,7.65426), (1.47066,9.42857), (1.47066,11.1429), 

(1.47115,0.857143), (1.92145,2.78906), (1.95927,4.39402), (2.3156,6.15713), (1.93496,7.65426), (1.47115,9.42857), (1.47115,11.1429), 

(1.95858,0.970665), (2.37612,2.57965), (2.44538,4.51374), (2.76452,6.37884), (1.9356,7.65426), (1.47163,9.42857), (1.47163,11.1429), 

(1.95923,0.970665), (2.37691,2.57965), (2.44619,4.51374), (2.87068,6.15207), (2.17689,8.09254), (1.47212,9.42857), (1.47212,11.1429), 

(2.43821,0.825081), (2.84057,2.76874), (2.44701,4.51374), (2.87163,6.15207), (2.17761,8.09254), (1.47261,9.42857), (1.47261,11.1429), 

(2.43902,0.825081), (3.34127,2.75317), (2.93992,4.60228), (3.29489,6.41977), (2.17834,8.09254), (1.4731,9.42857), (1.4731,11.1429), 

(2.93685,0.879612), (3.84147,2.78318), (3.43952,4.56531), (3.29599,6.41977), (2.66795,8.19736), (1.47359,9.42857), (1.47359,11.1429), 

(3.33934,1.17758), (3.84275,2.78318), (3.8652,4.82945), (3.29708,6.41977), (2.90231,8.6395), (1.47408,9.42857), (1.47408,11.1429), 

(3.34045,1.17758), (3.84403,2.78318), (4.34437,4.97652), (3.29818,6.41977), (3.24415,8.27371), (1.47457,9.42857), (1.47457,11.1429), 

(3.84014,1.21518), (4.06631,3.23168), (4.56549,5.09587), (3.29927,6.41977), (3.6426,8.57719), (1.96778,9.34354), (1.47506,11.1429), 

(4.24368,1.51215), (4.06766,3.23168), (5.02625,4.89816), (3.30037,6.41977), (4.11744,8.73742), (2.4652,9.4003), (1.47555,11.1429), 

(4.24509,1.51215), (4.06901,3.23168), (5.47564,4.67557), (3.73511,6.17087), (4.11881,8.73742), (2.46602,9.4003), (1.8662,10.8302), 

